"Key","Comment","ja","en","zh_cn","zh_tw","ko","es","ar","id"
"CurrentCulture","","ja-jp","en-us","zh-cn","zh-tw","ko-kr","es-es","ar-sa","id-id"
"AccessDenied","","アクセスが拒否されました","Access denied","访问被拒绝","存取被拒絶","액세스가 거부되었습니다","Acceso denegado","تم رفض الوصول","Akses ditolak"
"Acquiring","","取得中","Acquiring","获取中","獲取中","취득 중","Obteniendo","جاري الجلب","Mengambil"
"Action","","アクション","Action","操作","操作","액션","Acción","إجراء","Aksi"
"Add","","追加","Add","添加","新增","추가","Añadir","إضافة","Tambah"
"AddFolder","","フォルダを追加","Add Folder","添加文件夹","新增資料夾","폴더 추가","Añadir carpeta","إضافة مجلد","Tambah Folder"
"AdminPrivilegeRequired","","管理者権限が必要です。プログラムを管理者として実行するか、書き込み可能なフォルダに移動させてください。","Administrator privileges are required. Please run the program as an administrator or move it to a writable folder.","需要管理员权限。请以管理员身份运行程序，或将其移动到可写文件夹。","需要管理員權限。請以管理員身份執行程式，或將其移動到可寫入資料夾。","관리자 권한이 필요합니다. 프로그램을 관리자 권한으로 실행하거나 쓰기 가능한 폴더로 이동해 주세요.","Se requieren privilegios de administrador. Ejecute el programa como administrador o muévalo a una carpeta con permisos de escritura.","تتطلب صلاحيات المسؤول. يرجى تشغيل البرنامج كمسؤول أو نقله إلى مجلد قابل للكتابة.","Hak istimewa administrator diperlukan. Silakan jalankan program sebagai administrator atau pindahkan ke folder yang dapat ditulis."
"All","","すべて","All","全部","全部","전체","Todo","الكل","Semua"
"AudioEffects","","音声エフェクト","Audio Effects","音频效果","音訊效果","음성 이펙트","Efectos de audio","تأثيرات صوتية","Efek Audio"
"AvoidLimitSettings","","プラグイン取得の制限を回避するための設定です。頻繁に取得制限が発生する場合に設定してください。","This setting is to avoid plugin retrieval limits. Set this if limits occur frequently.","这是为了避免插件获取限制的设置。如果频繁发生获取限制，请进行设置。","這是為了避免外掛取得限制的設定。如果頻繁發生取得限制，請進行設定。","플러그인 취득 제한을 피하기 위한 설정입니다. 취득 제한이 빈번하게 발생하는 경우 설정해 주세요。","Este ajuste sirve para evitar los límites de obtención de plugins. Configúrelo si ocurre con frecuencia.","هذا الإعداد لتجنب قيود جلب الملحقات. قم بضبطه إذا كانت القيود تحدث بشكل متكرر。","Pengaturan ini untuk menghindari batasan pengambilan plugin. Atur ini jika batasan sering terjadi."
"Black","","ブラック","Black","黑色","黑色","블랙","Negro","أسود","Hitam"
"BulkInstallCompleted","","一括インストール処理が完了しました。","The bulk installation process is complete.","批量安装处理已完成。","批次安裝處理已完成。","일괄 설치 처리가 완료되었습니다.","Proses penginstalan massal telah selesai.","El proceso de instalación por lotes se ha completado.","اكتملت عملية التثبيت الجماعي."
